Time: 2026-01-12 07:32:12 UTC | Period: #22 | Runtime: 105 minutes

BTC: 91845.90 (1h: -0.02%, 4h: -0.37%) | MACD: -63.8896 | RSI: 51.00

Account: Equity 99.86 | Balance 100.00 (100.1%) | PnL +0.00% | Margin 0.0% | Positions 0

Current Positions: None

## Candidate Coins (3 coins)

### 1. SOLUSDT (Manual selection)

=== SOLUSDT Market Data ===

current_price = 141.9500, current_ema20 = 142.238, current_macd = -0.203, current_rsi7 = 39.705

Additional data for SOLUSDT:

Funding Rate: 1.00e-04

=== 5M Timeframe (oldest → latest) ===

Time(UTC)      Open      High      Low       Close     Volume
01-11 14:55    138.5400  139.4100  138.5200  139.1600  354748.47   
01-11 15:00    139.1600  139.5000  138.6200  138.7000  417701.49   
01-11 15:05    138.6900  138.7100  138.3000  138.5700  381587.34   
01-11 15:10    138.5800  138.5900  138.2900  138.4100  145081.33   
01-11 15:15    138.4200  138.8200  138.3100  138.7200  105488.13   
01-11 15:20    138.7200  138.9600  138.6400  138.9200  68151.65    
01-11 15:25    138.9100  138.9800  138.6400  138.7400  102131.89   
01-11 15:30    138.7400  138.9400  138.5600  138.5900  71213.69    
01-11 15:35    138.5900  138.7000  138.5400  138.5700  34992.82    
01-11 15:40    138.5600  138.6900  138.1000  138.1300  126018.14   
01-11 15:45    138.1300  138.3400  137.7700  137.8000  226145.73   
01-11 15:50    137.8000  138.1200  137.7900  138.0100  62689.77    
01-11 15:55    138.0100  138.4000  137.9100  138.3800  70710.07    
01-11 16:00    138.3800  138.8600  138.3800  138.7300  100142.69   
01-11 16:05    138.7300  138.8700  138.6400  138.6900  67502.22    
01-11 16:10    138.6900  138.6900  138.4500  138.5100  51089.38    
01-11 16:15    138.5100  138.7300  138.4400  138.7200  33523.19    
01-11 16:20    138.7100  138.7100  138.5400  138.6300  19470.29    
01-11 16:25    138.6200  140.7300  138.5000  140.2100  984789.52   
01-11 16:30    140.2100  141.6500  140.1500  140.8700  767060.66   
01-11 16:35    140.8700  141.3600  140.8300  140.8600  258411.50   
01-11 16:40    140.8600  140.9900  140.6300  140.9100  195515.81   
01-11 16:45    140.9200  141.2000  139.9600  140.0500  379114.03   
01-11 16:50    140.0500  140.1800  139.6000  140.1400  326022.87   
01-11 16:55    140.1300  140.2200  139.8600  139.9800  91795.98    
01-11 17:00    139.9900  140.1700  139.6800  139.8100  91237.52    
01-11 17:05    139.8200  139.9800  139.7200  139.9100  76228.30    
01-11 17:10    139.9100  140.0000  139.8400  139.8700  66496.51    
01-11 17:15    139.8700  139.8700  139.2300  139.2800  168571.96   
01-11 17:20    139.2800  139.4400  139.1100  139.4100  87980.21    
01-11 17:25    139.4200  139.4700  139.3400  139.4600  36215.09    
01-11 17:30    139.4600  139.4600  139.0800  139.2400  104011.15   
01-11 17:35    139.2400  139.2400  138.6900  139.0900  132098.72   
01-11 17:40    139.0800  139.4300  139.0800  139.4300  77546.01    
01-11 17:45    139.4300  139.5400  139.3300  139.4000  31662.44    
01-11 17:50    139.4000  139.8400  139.4000  139.6800  63097.64    
01-11 17:55    139.6700  139.7200  139.5600  139.6400  27311.26    
01-11 18:00    139.6300  139.7100  139.4000  139.4400  57598.24    
01-11 18:05    139.4500  139.4500  139.2200  139.2600  43743.76    
01-11 18:10    139.2500  139.2900  139.0700  139.1500  36134.11    
01-11 18:15    139.1500  139.2400  139.0700  139.1900  25119.73    
01-11 18:20    139.1900  139.3700  139.1800  139.2300  25372.15    
01-11 18:25    139.2300  139.5600  139.1300  139.4900  40506.44    
01-11 18:30    139.4900  139.7900  139.4800  139.7100  63495.14    
01-11 18:35    139.7100  139.7100  139.4000  139.6300  51998.50    
01-11 18:40    139.6400  139.7500  139.5500  139.7400  35734.26    
01-11 18:45    139.7400  139.8800  139.7000  139.8200  33495.35    
01-11 18:50    139.8100  140.1600  139.7600  139.9800  58623.82    
01-11 18:55    139.9700  140.1800  139.9600  139.9800  53304.60    
01-11 19:00    139.9700  140.0000  139.8500  139.9500  26278.64    
01-11 19:05    139.9500  139.9800  139.7700  139.8500  21984.70    
01-11 19:10    139.8500  140.1200  139.8100  140.0900  29362.12    
01-11 19:15    140.0800  140.1000  139.8600  139.9800  22302.82    
01-11 19:20    139.9800  140.0000  139.8000  139.8300  32128.76    
01-11 19:25    139.8200  139.9400  139.6400  139.8200  29788.79    
01-11 19:30    139.8100  139.8200  139.5900  139.6900  20234.05    
01-11 19:35    139.6900  139.7000  139.5000  139.5200  24515.39    
01-11 19:40    139.5200  139.5600  139.3100  139.4000  45784.88    
01-11 19:45    139.4000  139.4100  139.0000  139.1600  128913.33   
01-11 19:50    139.1500  139.9300  139.1000  139.7800  190654.48   
01-11 19:55    139.7800  139.8400  139.3800  139.3900  67179.49    
01-11 20:00    139.3900  139.3900  139.0300  139.1000  62211.19    
01-11 20:05    139.1100  139.1200  138.6000  138.8700  143317.05   
01-11 20:10    138.8800  139.1500  138.6800  138.7600  78428.74    
01-11 20:15    138.7600  138.7600  137.9300  138.1000  242103.73   
01-11 20:20    138.1100  138.3100  137.9300  138.0100  101478.30   
01-11 20:25    138.0100  138.2000  137.9500  138.1600  46838.77    
01-11 20:30    138.1500  138.3800  137.9100  138.3000  64163.98    
01-11 20:35    138.3100  138.4600  138.2800  138.3700  52113.75    
01-11 20:40    138.3600  138.3700  138.0700  138.1200  30373.25    
01-11 20:45    138.1100  138.5400  138.0700  138.4600  107475.88   
01-11 20:50    138.4600  138.4900  138.3100  138.4000  31574.51    
01-11 20:55    138.4100  138.6900  138.4000  138.4900  74204.74    
01-11 21:00    138.5000  138.5000  137.9900  138.0700  144433.61   
01-11 21:05    138.0700  138.1800  137.9300  137.9900  93096.97    
01-11 21:10    137.9900  138.1800  137.9700  138.1700  27164.70    
01-11 21:15    138.1700  138.3700  138.0500  138.3000  47659.40    
01-11 21:20    138.2900  138.4000  138.1900  138.3000  20367.18    
01-11 21:25    138.2900  138.4200  138.2700  138.4100  13441.18    
01-11 21:30    138.4100  138.5800  138.3000  138.3600  28987.77    
01-11 21:35    138.3500  138.4600  138.1200  138.1300  20269.64    
01-11 21:40    138.1400  138.3100  138.1300  138.2100  11072.13    
01-11 21:45    138.2000  138.4500  138.2000  138.4100  17058.87    
01-11 21:50    138.4200  138.9200  138.4000  138.7500  52960.69    
01-11 21:55    138.7500  138.7900  138.6500  138.6600  21146.30    
01-11 22:00    138.6500  138.6600  138.0400  138.0600  41190.18    
01-11 22:05    138.0700  138.1300  137.6200  137.7600  111261.82   
01-11 22:10    137.7700  137.9900  137.7100  137.9000  59414.64    
01-11 22:15    137.9100  137.9900  137.7000  137.7300  34551.37    
01-11 22:20    137.7200  138.3800  137.7200  138.3800  51705.57    
01-11 22:25    138.3800  138.4200  138.1600  138.3500  33222.90    
01-11 22:30    138.3500  138.5400  138.2800  138.5200  18948.33    
01-11 22:35    138.5200  138.5200  137.9600  138.2000  33189.42    
01-11 22:40    138.1900  138.5300  138.1500  138.4500  15660.53    
01-11 22:45    138.4600  138.5500  138.3600  138.4800  16262.54    
01-11 22:50    138.4700  138.4700  138.1100  138.1900  19137.81    
01-11 22:55    138.2000  138.3500  138.1700  138.1900  16597.21    
01-11 23:00    138.1800  138.3000  137.6000  137.7500  88790.25    
01-11 23:05    137.7500  138.3600  137.4700  138.3600  142197.61   
01-11 23:10    138.3500  138.9300  138.1500  138.9300  125147.45   
01-11 23:15    138.9200  139.7000  138.8600  139.6800  286457.17   
01-11 23:20    139.6800  139.7400  139.1000  139.1300  132608.73   
01-11 23:25    139.1300  139.3400  139.0400  139.2300  42904.50    
01-11 23:30    139.2300  139.3400  139.0600  139.1500  43867.58    
01-11 23:35    139.1500  139.1700  138.7600  139.0000  72785.46    
01-11 23:40    139.0000  139.4600  138.9600  139.4000  35713.52    
01-11 23:45    139.4000  139.6800  139.2800  139.4000  74074.06    
01-11 23:50    139.4100  139.7100  139.3500  139.6800  42173.43    
01-11 23:55    139.6900  139.7200  139.4500  139.6500  61524.59    
01-12 00:00    139.6500  139.6600  139.1900  139.1900  105503.35   
01-12 00:05    139.2000  139.3200  138.9000  138.9600  92971.97    
01-12 00:10    138.9600  139.2400  138.8500  139.1800  58634.63    
01-12 00:15    139.1700  140.3900  139.1300  140.2300  187126.47   
01-12 00:20    140.2400  140.6200  140.1900  140.5400  223002.65   
01-12 00:25    140.5400  140.8100  140.3100  140.6000  119831.52   
01-12 00:30    140.6000  141.0400  140.0300  140.2400  252722.39   
01-12 00:35    140.2400  140.7500  139.8900  140.3300  125841.78   
01-12 00:40    140.3300  140.4000  140.0400  140.1900  80104.43    
01-12 00:45    140.1900  140.5900  139.9700  140.4400  88425.53    
01-12 00:50    140.4500  140.5900  139.8200  140.4900  122971.75   
01-12 00:55    140.5000  141.3300  140.4200  141.2700  228184.45   
01-12 01:00    141.2600  141.6100  140.7900  141.3900  307551.19   
01-12 01:05    141.4000  141.8700  141.1800  141.2600  263041.48   
01-12 01:10    141.2600  141.5600  141.1000  141.4700  121293.22   
01-12 01:15    141.4600  141.4900  141.0400  141.4000  124611.42   
01-12 01:20    141.4000  141.7300  141.3000  141.4100  84612.98    
01-12 01:25    141.4100  141.9000  141.1000  141.8200  119147.16   
01-12 01:30    141.8300  141.8600  140.8600  140.9300  145528.69   
01-12 01:35    140.9300  141.4400  140.6300  141.3700  263935.14   
01-12 01:40    141.3800  141.5400  141.2400  141.3600  82773.15    
01-12 01:45    141.3500  141.4600  141.1700  141.2400  88105.13    
01-12 01:50    141.2300  141.2800  141.0100  141.2000  91368.74    
01-12 01:55    141.2000  141.2900  140.9200  141.0000  59952.98    
01-12 02:00    141.0000  141.6900  140.8800  141.4000  121275.43   
01-12 02:05    141.4000  141.7600  141.3900  141.5800  66680.86    
01-12 02:10    141.5800  141.8100  141.4400  141.8100  72164.63    
01-12 02:15    141.8000  142.7300  141.8000  142.2100  435464.79   
01-12 02:20    142.2000  142.2500  141.7100  141.8300  96719.33    
01-12 02:25    141.8300  142.1900  141.8300  142.0800  68537.98    
01-12 02:30    142.0900  142.1400  141.7400  141.8100  75377.59    
01-12 02:35    141.8200  142.1900  141.7200  141.9600  58772.66    
01-12 02:40    141.9600  142.1700  141.8700  142.0100  39147.43    
01-12 02:45    142.0200  142.4100  142.0100  142.4000  94960.01    
01-12 02:50    142.4000  142.6000  142.1900  142.4000  98627.37    
01-12 02:55    142.3900  142.6900  142.2800  142.3700  82668.40    
01-12 03:00    142.3800  142.7700  142.3500  142.5000  144860.51   
01-12 03:05    142.5100  142.9200  142.5000  142.7900  121452.03   
01-12 03:10    142.7900  144.2100  142.6500  143.9400  586287.93   
01-12 03:15    143.9400  144.4000  143.6000  143.6100  311101.24   
01-12 03:20    143.6000  143.8600  143.5200  143.6900  115216.43   
01-12 03:25    143.6800  143.9000  143.4100  143.4800  108904.45   
01-12 03:30    143.4900  143.5900  142.9800  143.2400  213279.24   
01-12 03:35    143.2300  143.2900  142.6200  142.9500  263328.77   
01-12 03:40    142.9400  142.9800  142.5900  142.7700  109414.19   
01-12 03:45    142.7700  142.8700  142.6600  142.8000  61800.83    
01-12 03:50    142.7900  142.9300  142.6400  142.8500  113450.02   
01-12 03:55    142.8500  143.0700  142.4100  142.4900  206480.70   
01-12 04:00    142.4900  142.7000  142.3900  142.5500  93936.64    
01-12 04:05    142.5600  143.0400  142.5500  142.7700  189545.00   
01-12 04:10    142.7700  142.9300  142.6100  142.8100  106219.93   
01-12 04:15    142.8100  142.9900  142.6400  142.9500  45540.63    
01-12 04:20    142.9500  142.9500  142.6000  142.6700  35884.25    
01-12 04:25    142.6600  142.6700  142.4200  142.5800  49038.30    
01-12 04:30    142.5800  142.9200  142.5300  142.9000  43219.38    
01-12 04:35    142.9000  142.9700  142.7900  142.9000  50487.16    
01-12 04:40    142.9000  142.9800  142.7900  142.8600  59079.94    
01-12 04:45    142.8500  143.0000  142.8300  142.9500  24576.05    
01-12 04:50    142.9500  142.9600  142.7500  142.8000  34942.49    
01-12 04:55    142.8000  142.8200  142.6800  142.6800  20289.12    
01-12 05:00    142.6800  142.7100  142.4200  142.6200  98482.87    
01-12 05:05    142.6200  142.7700  142.5700  142.7700  30392.42    
01-12 05:10    142.7700  142.8500  142.6000  142.6300  22431.87    
